Aplikacija ukljucena        (1/23/2016 12:10:12 PM)
The process cannot access the file 'E:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (1/23/2016 12:15:52 PM)
The process cannot access the file 'E:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (1/23/2016 12:15:52 PM)
The process cannot access the file 'E:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (1/23/2016 12:15:52 PM)
The process cannot access the file 'E:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (1/23/2016 12:15:52 PM)
The process cannot access the file 'E:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (1/23/2016 12:15:52 PM)
The process cannot access the file 'E:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (1/23/2016 12:15:52 PM)
The process cannot access the file 'E:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (1/23/2016 12:15:52 PM)
The process cannot access the file 'E:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (1/23/2016 12:15:52 PM)
The process cannot access the file 'E:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (1/23/2016 12:15:52 PM)
The process cannot access the file 'E:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (1/23/2016 12:15:52 PM)
The process cannot access the file 'E:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (1/23/2016 12:15:52 PM)
The process cannot access the file 'E:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (1/23/2016 12:15:52 PM)
The process cannot access the file 'E:\kidalicaMetal\online.txt' because it is being used by another process.[DataReader.cs] {public int ReadDataOnLine()}        (1/23/2016 12:15:52 PM)
